Google service,Service description,Service ID,SKU ID,SKU description,Product taxonomy,Unit description,Per unit quantity,Tiered usage start,List price (Rp),
GCP,Cloud Storage,95FF-2EF5-5EA1,1F8B-71B0-3D1B,Download APAC,GCP > Network > Egress > GCS > Premium,gibibyte,1,0,0.00,
GCP,Cloud Storage,95FF-2EF5-5EA1,1F8B-71B0-3D1B,Download APAC,GCP > Network > Egress > GCS > Premium,gibibyte,1,1,"1,690.20000207",
GCP,Cloud Storage,95FF-2EF5-5EA1,1F8B-71B0-3D1B,Download APAC,GCP > Network > Egress > GCS > Premium,gibibyte,1,1024,"1,549.350001897",
GCP,Cloud Storage,95FF-2EF5-5EA1,1F8B-71B0-3D1B,Download APAC,GCP > Network > Egress > GCS > Premium,gibibyte,1,10240,"1,126.80000138",
GCP,Cloud Storage,95FF-2EF5-5EA1,4DBF-185F-A415,Regional Standard Class A Operations,GCP > Storage > GCS > Ops > Standard > Regional and Dual-Regional,count,1000,0,0.00,
GCP,Cloud Storage,95FF-2EF5-5EA1,4DBF-185F-A415,Regional Standard Class A Operations,GCP > Storage > GCS > Ops > Standard > Regional and Dual-Regional,count,1000,5000,70.425000086,
GCP,Cloud Storage,95FF-2EF5-5EA1,7870-010B-2763,Regional Standard Class B Operations,GCP > Storage > GCS > Ops > Standard > Regional and Dual-Regional,count,10000,0,0.00,
GCP,Cloud Storage,95FF-2EF5-5EA1,7870-010B-2763,Regional Standard Class B Operations,GCP > Storage > GCS > Ops > Standard > Regional and Dual-Regional,count,10000,50000,56.340000069,
GCP,Cloud Storage,95FF-2EF5-5EA1,76BA-5CAD-4338,Standard Storage Singapore,GCP > Storage > GCS > Storage > Standard > Regional and Dual-Regional,gibibyte month,1,0,281.700000345,
GCP,Compute Engine,6F81-5844-456A,C054-7F72-A02E,External IP Charge on a Standard VM,GCP > Compute > GCE > Network Other,hour,1,0,0.00,
GCP,Compute Engine,6F81-5844-456A,C054-7F72-A02E,External IP Charge on a Standard VM,GCP > Compute > GCE > Network Other,hour,1,743,56.340000069,
GCP,Compute Engine,6F81-5844-456A,4AF8-7C1F-39C4,External IP Charge on a Preemptible VM,GCP > Compute > GCE > Network Other,hour,1,0,28.170000034,
GCP,Compute Engine,6F81-5844-456A,AD76-ABD5-1D96,Licensing Fee for CentOS 7 (CPU cost),GCP > Marketplace Services > CentOS 7,hour,1,0,0.00,
GCP,Compute Engine,6F81-5844-456A,D642-ABDF-9932,Licensing Fee for CentOS 7 (CPU cost),GCP > Marketplace Services > CentOS 7,hour,1,0,0.00,
GCP,Compute Engine,6F81-5844-456A,9FB0-D8FF-0BAA,Licensing Fee for CentOS 7 (RAM cost),GCP > Marketplace Services > CentOS 7,gibibyte hour,1,0,0.00,
GCP,Compute Engine,6F81-5844-456A,D39A-E0A6-C301,Licensing Fee for Ubuntu 20.04 LTS (Focal Fossa) (CPU cost),GCP > Marketplace Services,hour,1,0,0.00,
GCP,Compute Engine,6F81-5844-456A,DF89-9851-3C54,Licensing Fee for Ubuntu 20.04 LTS (Focal Fossa) (CPU cost),GCP > Marketplace Services,hour,1,0,0.00,
GCP,Compute Engine,6F81-5844-456A,A40C-DDB6-A932,Licensing Fee for Ubuntu 20.04 LTS (Focal Fossa) (RAM cost),GCP > Marketplace Services,gibibyte hour,1,0,0.00,
GCP,Compute Engine,6F81-5844-456A,8532-0615-4695,Network Google Egress from Jakarta to Jakarta,GCP > Network > Egress > GCE > Premium,gibibyte,1,0,0.00,
GCP,Compute Engine,6F81-5844-456A,92CB-C25F-B1D1,Network Google Egress from Americas to Americas,GCP > Network > Egress > GCE > Premium,gibibyte,1,0,0.00,
